上海电信,#genre#
东方影视,http://yun.lei119911.xyz:5488/rtp/233.18.204.55:5140
东方财经,http://yun.lei119911.xyz:5488/rtp/233.18.204.65:5140
法治天地,http://yun.lei119911.xyz:5488/rtp/233.18.204.12:5140
法治天地,http://yun.lei119911.xyz:5488/rtp/233.18.204.49:5140
哈哈炫动,http://yun.lei119911.xyz:5488/rtp/233.18.204.7:5140
哈哈炫动,http://yun.lei119911.xyz:5488/rtp/233.18.204.54:5140
北京卡酷,http://yun.lei119911.xyz:5488/rtp/233.18.204.109:5140
家庭理财,http://yun.lei119911.xyz:5488/rtp/233.18.204.157:5140
嘉佳卡通,http://yun.lei119911.xyz:5488/rtp/233.18.204.151:5140
金色学堂,http://yun.lei119911.xyz:5488/rtp/233.18.204.14:5140
金色学堂,http://yun.lei119911.xyz:5488/rtp/233.18.204.66:5140
金鹰卡通,http://yun.lei119911.xyz:5488/rtp/233.18.204.113:5140
金鹰卡通,http://yun.lei119911.xyz:5488/rtp/233.18.204.150:5140
卡酷少儿,http://yun.lei119911.xyz:5488/rtp/233.18.204.152:5140
上海都市,http://yun.lei119911.xyz:5488/rtp/233.18.204.2:5140
上海教育,http://yun.lei119911.xyz:5488/rtp/233.18.204.11:5140
新闻综合,http://yun.lei119911.xyz:5488/rtp/233.18.204.57:5140
新闻综合,http://yun.lei119911.xyz:5488/rtp/233.18.204.189:5140
五星体育,http://yun.lei119911.xyz:5488/rtp/233.18.204.6:5140
五星体育,http://yun.lei119911.xyz:5488/rtp/233.18.204.58:5140
第一剧场,http://yun.lei119911.xyz:5488/rtp/233.18.204.184:5140
第一财经,http://yun.lei119911.xyz:5488/rtp/233.18.204.5:5140
第一财经,http://yun.lei119911.xyz:5488/rtp/233.18.204.59:5140
东方购物1,http://yun.lei119911.xyz:5488/rtp/233.18.204.61:5140
东方购物2,http://yun.lei119911.xyz:5488/rtp/233.18.204.62:5140
CHC动作电影,http://yun.lei119911.xyz:5488/rtp/233.18.204.174:5140
CHC家庭影院,http://yun.lei119911.xyz:5488/rtp/233.18.204.173:5140
CHC影迷电影,http://yun.lei119911.xyz:5488/rtp/233.18.204.175:5140
兵器科技,http://yun.lei119911.xyz:5488/rtp/233.18.204.178:5140
游戏风云,http://yun.lei119911.xyz:5488/rtp/233.18.204.13:5140
游戏风云,http://yun.lei119911.xyz:5488/rtp/233.18.204.44:5140
都市剧场,http://yun.lei119911.xyz:5488/rtp/233.18.204.48:5140
风云剧场,http://yun.lei119911.xyz:5488/rtp/233.18.204.183:5140
风云音乐,http://yun.lei119911.xyz:5488/rtp/233.18.204.185:5140
风云足球,http://yun.lei119911.xyz:5488/rtp/233.18.204.176:5140
高尔夫网球,http://yun.lei119911.xyz:5488/rtp/233.18.204.181:5140
金鹰纪实,http://yun.lei119911.xyz:5488/rtp/233.18.204.104:5140
女性时尚,http://yun.lei119911.xyz:5488/rtp/233.18.204.180:5140
世界地理,http://yun.lei119911.xyz:5488/rtp/233.18.204.179:5140
文化精品,http://yun.lei119911.xyz:5488/rtp/233.18.204.186:5140
百事通画面,http://yun.lei119911.xyz:5488/rtp/233.18.204.158:5140
CCTV4-4K,http://yun.lei119911.xyz:5488/rtp/233.18.204.188:5140
CCTV-4-4K50FPS,http://yun.lei119911.xyz:5488/rtp/233.18.204.204:5140
多彩文体4K50FPS,http://yun.lei119911.xyz:5488/rtp/233.18.204.205:5140
深圳卫视4K50FPS,http://yun.lei119911.xyz:5488/rtp/233.18.204.219:5140	
东方卫视4K50FPS,http://yun.lei119911.xyz:5488/rtp/233.18.204.224:5140	
四川卫视4K50FPS,http://yun.lei119911.xyz:5488/rtp/233.18.204.225:5140
江苏卫视4K50FPS,http://yun.lei119911.xyz:5488/rtp/233.18.204.226:5140	
湖南卫视4K50FPS,http://yun.lei119911.xyz:5488/rtp/233.18.204.227:5140	
山东卫视4K50FPS,http://yun.lei119911.xyz:5488/rtp/233.18.204.228:5140	
浙江卫视4K50FPS,http://yun.lei119911.xyz:5488/rtp/233.18.204.229:5140
CCTV16-4K,http://yun.lei119911.xyz:5488/rtp/233.18.204.114:5140
欢笑剧场4K,http://yun.lei119911.xyz:5488/rtp/233.18.204.115:5140
BesTV电影介绍,http://yun.lei119911.xyz:5488/rtp/233.18.204.116:5140
BesTV4K电影,http://yun.lei119911.xyz:5488/rtp/233.18.204.169:5140
BesTV4K记录,http://yun.lei119911.xyz:5488/rtp/233.18.204.170:5140
BesTV4K动画,http://yun.lei119911.xyz:5488/rtp/233.18.204.171:5140

CCTV1,http://demo.medrun.cn:4022/rtp/233.18.204.20:5140
CCTV1,http://demo.medrun.cn:4022/rtp/233.18.204.52:5140
CCTV2,http://demo.medrun.cn:4022/rtp/233.18.204.21:5140
CCTV2,http://demo.medrun.cn:4022/rtp/233.18.204.68:5140
CCTV3,http://demo.medrun.cn:4022/rtp/233.18.204.22:5140
CCTV3,http://demo.medrun.cn:4022/rtp/233.18.204.69:5140
CCTV4,http://demo.medrun.cn:4022/rtp/233.18.204.23:5140
CCTV4,http://demo.medrun.cn:4022/rtp/233.18.204.70:5140
CCTV5,http://demo.medrun.cn:4022/rtp/233.18.204.24:5140
CCTV5,http://demo.medrun.cn:4022/rtp/233.18.204.71:5140
CCTV5+,http://demo.medrun.cn:4022/rtp/233.18.204.67:5140
CCTV6,http://demo.medrun.cn:4022/rtp/233.18.204.25:5140
CCTV6,http://demo.medrun.cn:4022/rtp/233.18.204.72:5140
CCTV7,http://demo.medrun.cn:4022/rtp/233.18.204.26:5140
CCTV7,http://demo.medrun.cn:4022/rtp/233.18.204.73:5140
CCTV8,http://demo.medrun.cn:4022/rtp/233.18.204.27:5140
CCTV8,http://demo.medrun.cn:4022/rtp/233.18.204.74:5140
CCTV9,http://demo.medrun.cn:4022/rtp/233.18.204.40:5140
CCTV9,http://demo.medrun.cn:4022/rtp/233.18.204.75:5140
CCTV10,http://demo.medrun.cn:4022/rtp/233.18.204.29:5140
CCTV10,http://demo.medrun.cn:4022/rtp/233.18.204.76:5140
CCTV11,http://demo.medrun.cn:4022/rtp/233.18.204.30:5140
CCTV11,http://demo.medrun.cn:4022/rtp/233.18.204.77:5140
CCTV12,http://demo.medrun.cn:4022/rtp/233.18.204.31:5140
CCTV12,http://demo.medrun.cn:4022/rtp/233.18.204.78:5140
CCTV13,http://demo.medrun.cn:4022/rtp/233.18.204.32:5140
CCTV13,http://demo.medrun.cn:4022/rtp/233.18.204.79:5140
CCTV14,http://demo.medrun.cn:4022/rtp/233.18.204.33:5140
